Название группы/объединения,Аббревиатура названия,Начало работы,Конец работы,Описание группы/объединения,Основные участники группы,Официальное/неофициальное,Библиография,Территориальность,Современные названия,Latitude,Longitude
"«ИЗОГРАФ» (Профессиональный союз художников живописи, скульптуры, гравюры, декоративного искусства—Согласие Москвы «Изограф»)",ИЗОГРАФ,1917,1919,"Общество основано 14 (27) мая 1917 бывшими членами Профессионального союза художников-живописцев Москвы, которые после состоявшегося накануне собрания вышли из него из-за организационных разногласий. Объединяло представителей различных художественных и архитектурных обществ, в том числе ТПХВ, СРХ и «Мира искусства». Видную роль в нем играли М. А. Дурнов (председатель), А. Е. Архипов, В. Н. Бакшеев, А. М. и В. М. Васнецовы, С. Ю. Жуковский, Н. А. Касаткин, Л. О. Пастернак, В. В. Переплетчиков, В. Д. Поленов, Л. В. Туржанский, Д. А. Щербиновский, К. Ф. Юон, М. Н. Яковлев и др. Члены общества ставили целью защиту профессиональных интересов художников и охрану памятников искусства. В течение 1917 они заявляли о своем политическом нейтралитете, а с декабря 1917 активно поддерживали Советскую власть. В феврале 1918 общество в качестве коллективного члена вошло в Комиссию по охране памятников искусства и старины при Совете рабочих и солдатских депутатов. Летом 1918 многие члены «Изографа» вновь вступили в Профессиональный союз художников-живописцев Москвы. В сентябре 1919 общество влилось в Профсоюз Рабис.","М. А. Дурнов, А. Е. Архипов, В. Н. Бакшеев, А. М. Васнецов, В. М. Васнецов, С. Ю. Жуковский, Н. А. Касаткин, С. В. Малютин, Л. О. Пастернак, В. В. Переплётчиков, В. Д. Поленов, Л. В. Туржанский, Д. А. Щербиновский, К. Ф. Юон, М. Н. Яковлев ",Официальное,"Лапшин, 36Q, 430, 436.*
Из истории строительства советской культуры: Москва, 1917—1918. Доку¬менты и воспоминания. М., 1964. С. 98, 106, 142, 150—152, 211—212.* Агитационно-массовое искусство первых лет Октября: Материалы и иссле- дования/Под ред. Е. А. Сперанской. М.„ 1971. С. 67, 109.
",Петроград,Санкт-Петербург,59.9310584,30.3609097
ИЗО Пролеткульта («Коллектив ИЗО Петро-Пролеткульта»; с 1924 — «Коллектив ИЗО Лен-Пролеткульта»),ИЗО Пролеткульта,1922,1932,"Студия изобразительного искусства (ИЗО) возникла по инициативе живописца и сценографа А. А. Андреева при массовой культурно-просветительной организации Пролеткульт («Пролетарская культура»). Объединяла, в основном учащуюся молодежь. Члены коллектива — 3. Я. Бледау, Ю. Ю. Боднэк, А. К. Верещагин, Я. М. Гуминер, А. М. Комашко, В. П. Савицкий, В. М. Упман и др.— участвовали в «Выставке картин художников Петрограда всех направлений» (1923), где экспонировали рисунки, плакаты, гравюры и эскизы стенописи. Позднее многие из них сосредоточились на производственном искусстве и клубной работе, которая, в соответствии с общими теоретическими установками Пролеткульта, рассматривалась, как основа «пролетарской культуры». На совещании представителей Главнауки и художественных обществ Ленинграда 12 января 1928 А. А. Андреев следующим образом сформулировал кредо объединения: Цель — служение не искусству, а революции искусством. Является определенной единицей, выступающей против возрождения народнических традиций в искусстве. Работа протекает в двух, областях — в области живописи и в области полиграфии. Связано с рабочей массой через работу в клубах». Деятельность секции прекратилась в связи с ликвидацией Пролеткульта в 1932.","А. А. Андреев, 3. Я. Бледау, Ю. Ю. Боднэк, А. К. Верещагин, Я. М. Гуминер, А. М. Комашко, В. П. Савицкий, В.М. Упман",Официальное,"ЦГИА, ф. 791, on. 1, д. 2, С. 141.*
Каталог выставки картин художников Петрограда всех направлений за 5-летний период деятельности. 1918—1923. Пг., 1923. С. 32—35.
",Петроград,Санкт-Петербург,59.9310584,30.3609097
ИЗО рабочей молодежи,ИЗОРАМ,1928,1931,"Изорам образован в 1928 по решению Ленгубполитпросвета на основе объединения художественных кружков при клубах и домах политического просвещения. Ставил целью содействие массовой самодеятельности рабочих, развитие клубного искусства и распространение художественно-оформительских навыков. Созданию Изорама предшествовал подготовительный период, начавшийся осенью 1924, когда, в связи с намеченной Ленгубполитпросветом реорганизацией клубной работы, открылись курсы по подготовке и переподготовке руководителей кружков. Весной 1925 была организована конференция кружковцев, после чего в Академии художеств состоялась выставка,на которой экспонировалось более 1000 работ 60 изокружков. В 1926 эта выставка была показана в Москве. В 1928 Изорам объединял около 80 изокружков, в которых имелись мастерские с плакатными, графическими и декоративными отделениями. Центром объединения стал Домпросвет им. Плеханова. Работавший в нем художник М. С. Бродский был назначен ответственным руководителем ленинградского Изорама. Из декларации Изорама (утверждена в марте 1930 художественным советом обкома ЛКСМ): «Изорам — целеустремленный коллектив рабочей молодежи, имеющий задачей, под руководством коммунистической партии и комсомола, активно участвовать в классовой борьбе пролетариата и содействовать социалистической перестройке жизни средствами изоискусства (...) Изорам стремится понять окружающую материальную культуру в ее социальной классовой обусловленности, чтобы, борясь с социально вредными и классово враждебными элементами в материальной культуре, содействовать ее скорейшей реконструкции и подчинению ее задачам классовой борьбы пролетариата (...) Не являясь каким-либо «течением» внутри профессионального изобразительного искусства, Изорам тем не менее резко противостоит всяким аполитичным, реакционным, пассивноиллюстративным и бытоотражательным направлениям в изо, всяческому эстетизму и формализму. Революционное крыло профессионального изоискусства, с классовой целеустремленностью, установкой на политический смысл, конструктивность, производственность и высокую техничность, является наиболее близким Изораму». Члены объединения были вовлечены в систематическую клубную работу, которая противопоставлялась академическим штудиям, характерным для традиционных изокружков. Они писали лозунги, исполняли афиши, плакаты, оформляли карнавалы и сценические площадки, участвовали в оформлении города к майским и октябрьским праздникам. Осенью 1928 Изорам провел обширную выставку в ГРМ. В 1929 в Москве 
(в ГТГ) состоялась 2-я выставка объединения, на которой среди прочего экспонировались эскизы мебели, модели одежды и проекты домов. В 1930 экспозиция Изорама под девизом «Искусство в рабочем быту» представляла советский раздел на Выставке декоративных искусств в Монце (Италия), а затем демонстрировалась в Амстердаме и Вене. Объединение делало упор на связь с актуальной социально-политической тематикой, провозглашало примат «социального заказа». При этом Изорам тяготел к идеологии «Октября», с характерным для него «лефовским» пониманием задач искусства, сведением его к чисто практическим целям, отрицанием воспитательной и познавательной значимости станковой картины. Члены Изорама исходили из представления о постепенном отмирании профессионального искусства и вытеснении его самодеятельным творчеством. В конце 1930 по аналогии с ленинградским Изорамом 
с Москве при Траме (Театр рабочей молодежи) был создан московский Изорам под руководством Е. А. Кибрика и И. И. Соколова. В начале 1931 объединение наметило расширить сеть кружков («изоядер») и охватить руководством все самодеятельное искусство Ленинграда. Осенью 1931 Изорам влился в РАПХ в качестве коллективного члена.","М. С. Бродский, Е. А. Кибрик, П. И. Соколов",Официальное,"Выставки, 3 71; Маца, 463—473.*
Искусство рабочих: Каталог выставки. ГРМ/Вступ. ст. С. Исакова, М. Брод¬ского, Н. Пунина, Вс. Воинова. Л., 1928.*
Маца И. Ленинградский Изорам М.—Л., 1932.*
ИЗО рабочей молодежи Ленинграда: ГТГ. Каталог выставки/Вступ. ст.. А. Федорова-Давыдова, С. Исакова, М. Бродского. М., 1929.
",Санкт-Петербург,Санкт-Петербург,59.9310584,30.3609097
Инициативное звено художников-профессионалов (Союз «Инициативное звено художников-профессионалов»),ИНИЦИАТИВНОЕ ЗВЕНО ХУДОЖНИКОВ-ПРОФЕССИОНАЛОВ,1917,1917,"Общество основано в апреле 1917 группой молодых живописцев и декораторов в связи с созданием Союза деятелей искусств. Инициатором и председателем общества стал А. А. Андреев, который одновременно входил в профессиональный союз художников «Молодое искусство» и в кружок «Новая школа». Члены союза: И. П. Кавалеридзе, М. И. Коркин, П. М. Лебедев, В. И. Лузан, В. Ф. Мюллер, В. А. Николаева, С. В. Приселков, Л. Ф. Полшков, С. Ф. Рейтлингер, Т. С. Толмачев, Л. Ф. Шмит-Рыжова. Целью общества провозглашалось: «1) Единение и защита свободы самоопределения искусств и прав художника. 2) Проведение в жизнь условий, содействующих работам и свободному самоопределению в сфере пластических искусств». В мае 1917 общество влилось в Союз деятелей искусств.","А. А. Андреев, И. П. Кавалеридзе, М. И. Коркин, П. М. Лебедев, В. И. Лузан, В. Ф. Мюллер, В. А. Николаева, С. В. Приселков, Л. Ф. Полшков, С. Ф. Рейтлингер, Г. С. Толмачев, Л. Ф. Шмит-Рыжова",Неофициальное,"ЦГИА, ф. 794, on. 1, д. 42, л. 201, 216—218.",Петроград,Санкт-Петербург,59.9310584,30.3609097
Иркутское общество художников (Иркутское художественное общество),ИРКУТСКОЕ ОБЩЕСТВО ХУДОЖНИКОВ,1910,1926,"Общество основано около 1910 при поддержке Восточно-сибирского отдела Русского географического общества. Объединяло художников и учителей рисования. В 1910—1919 по инициативе К. К. Грюнберга и Р. С. Пророкова ежегодно проводило периодические и передвижные выставки по городам Сибири. Участники выставок: Н. И. Верхотуров, М. И. Зязин, В. И. Камкин, И. Г. Козлов, И. Л. Копылов, А. П. Моисеенко, М. А. Радченко, П. В. Шабалин, В. Г. и И. Г. Шешуновы и др. В периодической выставке 1919 года участвовали военнопленные немцы: Г. Адам, М. Беккер, Р. Г. Куссин, М. Малиц, P. И. Шейн, В. Эк. После поражения Колчака и окончательного установления Советской власти (март 1920) общество фактически слилось с секцией ИЗО Наркомпроса. В этот период активную роль в нем играли М. И. Авилов, Н. А. Андреев, С. Д. Бигос, С. И. Виноградов, Б. И. Лебединский (председатель), Н. В. Лодейщиков, К. И. Померанцев, А. Д. Фатьянов». Н. М. Чистяков и др. При обществе была организована театрально-декорационная мастерская для обслуживания городских и губернских театров; по плану «монументальной пропаганды» оформлялись интерьеры общественных зданий. Весной 1920 и 1922 состоялись очередные выставки, в сентябре 1921— передвижная выставка в помощь голодающим. В ноябре 1925 по инициативе членов общества в Иркутске была организована «І-я Всесибирская художественная выставка» под лозунгом «Искусство — в массы!». Члены общества провели опись национализированной художественной галереи бывшего городского головы В. П. Сукачева; председателем совета галереи стал Лебединский. В 1926—1927 участвовали в создании общества «Новая Сибирь».","К. К. Грюнберг, Р. С. Прокоров, Н. И. Верхотуров, М. И. Зязин, В. И. Камкин, И. Г. Козлов, И. Л. Копылов, А. П. Моисеенко, М. А. Радченко, П. В. Шабалин, В. Г. Шешунов, И. Г. Шешунов, Г. Адам, М. Беккер, Р. Г. Куссин, М. Малиц, P. И. Шейн, В. Эк, М. И. Авилов, Н. А. Андреев, С. Д. Бигос, С. И. Виноградов, Б. И. Лебединский, Н. В. Лодейщиков, К. И. Померанцев, А. Д. Фатьянов, Н. М. Чистяков",Официальное,"Муратов, 3, 14—15, 27—28, 66—67.*
Выставка произведений художников Иркутской области, посвященной 40-ле¬тию установления Советской власти в Сибири: Каталог/Вступ. ст. А. Д. Фать¬янова. Иркутск, 196'0.*
Тихонова Л. В. Резцом и кистью: Очерк жизни и творчества художника Б. И. Лебединского. Иркутск, 1983. С. 31—33.
",Иркутск,Иркутск,52.2854834,104.2890222
«ИСКУССТВО» (Общество «Искусство»),ИСКУССТВО,1917,1918,"Общество основано весной 1917 по инициативе выпускника Московского училища живописи, ваяния и зодчества К. Н. Корыгина и поэта А. Е. Ноздрина. Объединяло молодых художников, литераторов, музыкантов и актеров. Намечало художественно-просветительскую деятельность. Члены Общества выпустили альманах «Зеленый шум», в котором содержались образцы творчества литературной секции и доклад-декларация Корыгина, прочитанный на собрании общества 25 мая 1917. Художник призывал «поднять факел духовного просвещения в столь трудные и трагические минуты, когда тьма и грубость открывают пасть на заступницу жизни — культуру». Летом 1918 общество влилось в губернский Пролеткульт.","К. Н. Корыгин, А. Е. Ноздрин",Официальное,"Зеленый шум: Сборник. Иваново-Вознесенск, 1917.",Иваново-Вознесенск,Иваново-Вознесенск,57.0050671,40.9766453
«ИСКУССТВО ДВИЖЕНИЯ» (Тематические выставки),ИСКУССТВО ДВИЖЕНИЯ,1925,1928,"Под названием «Искусство движения» в 1925— 1928 ежегодно проходили выставки, организуемые по совместной инициативе хореологической лаборатории Государственной академии художественных наук (ГАХН), Ассоциации ритмистов и Русского фотографического общества. Основной идеей, объединяющей экспонаты, был поиск всевозможных способов фиксации движений человеческого тела. Выставки ставили задачей «наглядное сопоставление всех видов искусства движения: танцевального, изкультурного и трудового, исходящих из единого резервуара — движений человеческого тела — и дифференцирующихся в порядке своих конечных назначений, (...) демонстрации современных художественных достижений в области искусства движения и параллельно 
с этим — выявление накопленного опыта художественного изображения движений как в области фотографического искусства, так и графическо-живописного» («Искусство — движение»: Каталог второй выставки. М., 1926). В выставках, на которых экспонировались произведения живописи и графики, а также мелкая пластика, костюмы и аппликации, участвовали художники С. Анат, М. Ф. Бри-Бейн, Л. А. Бруни, В. А. Ватагин, Н. Н. Власов, Н. Н. Вышеславцев, К. Я. Голейзовский, Е. А. Доценко, 3. И. Елгаштина, И. С. Ефимов, Н. С. Изнар, Т. С. Кирпичников, А. И. Кравченко, П. И. Львов, М. Г. Манизер, Н. М. Машкова, С. А. Стороженко, О. В. Энгельс, Б. Г. Эрдман, К. Ф. Юон, Е. А. Янсон. Большую часть экспозиции выставок занимали фотографии выполненные членами Русского фотографического общества С. Л. Бранзбургом, А. Д. Гринбергом, Ю. П. Ефиминым, М. С. Наппельбаумом, Е. О. Пиотровским и др., опыты мультипликационных снимков и аналитические системы записи движений, разработанные сотрудниками хореолаборатории А. А. Сидоровым, А. И. Ларионовым, Н. С. Поздняковым, А. А. Ивановым-Терентьевым и Б. П. Подлузским. На выставках читались доклады и демонстрировались книги по искусству движения из библиотек А. А. Сидорова и Ассоциации ритмистов. На 4-й выставке (1928) экспонировались фотоработы из Германии, Австрии и Франции, а также графика русского эмигранта Г. К. Кирсты, представлявшего Венскую АХ. Каталоги выставок сопровождались теоретическими статьями.","С. Анат, М. Ф. Бри-Бейн, Л. А. Бруни, В. А. Ватагин, Н. Н. Власов, Н. Н. Вышеславцев, К. Я. Голейзовский, Е. А. Доценко, 3. И. Елгаштина, И. С. Ефимов, Н. С. Изнар, Т. С. Кирпичников, А. И. Кравченко, П. И. Львов, М. Г. Манизер, Н. М. Машкова, С. А. Стороженко, О. В. Энгельс, Б. Г. Эрдман, К. Ф. Юон, Е. А. Янсон, С. Л. Бранзбург, А. Д. Гринберг, Ю. П. Ефимин, М. С. Наппельбаум, Е. О. Пиотровский, А. А. Сидоров, А. И. Ларионов, Н. С. Поздняков, А. А. Иванов-Терентьев, Б. П. Подлузский, Г. К. Кирста",Официальное,"Выставки 148, 175, 213, 256.*
Выставка по искусству движения//Бюллетени ГАХН. № 1, М., 1925. С. 37— 38.*
Искусство движения: Каталог второй выставки/Вступ. ст. А. И. Ларионова. М, 1926.*
Искусство движения: Каталог третьей выставки/Вступ. ст. А. И. Ларионова,. А. А. Сидорова. М., 1927.*
Искусство движения: Каталог 4-й выставки/Вступ. ст. А. И. Ларионова,. А. А. Сидорова, Г. Боденвизер. М., 1928.
",Москва,Москва,55.755826,37.6173
"«ИСКУССТВО, РЕВОЛЮЦИЯ» (Общество ху
 дожников, поэтов, музыкантов и актеров «Ис
 кусство, Революция»)","ИСКУССТВО, РЕВОЛЮЦИЯ",1917,1917,"Общество основано в марте 1917 членами союза «Свобода искусству» для усиления своих позиций в Союзе деятелей искусства. Члены-учредители: О. М. Брик, Л. А. Бруни, В. М. Ермолаева, И. М. Зданевич, Н. Ф. Лапшин (председатель) и Е. И. Турова. В общество входили также художники Н. И. Альтман, В. А. Денисов, Н. И. Любавина, С. Н. Наседкин, А. М. Родченко, В. Е. Татлин, С. И. Толстая (Дымшиц-Толстая), литераторы А. М. Авраамов, Б. А. Кушнер, В. Б. Шкловский, поэты Н. П. Венгров и М. А. Кузмин, режиссер В. Э. Мейерхольд и др. В уставе провозглашалось: «Цель общества — содействие революционным партиям и организациям в проповеди путем искусства идей и политических программ. (.. .) Общество исполняет заказы революционных партий и организаций на составление воззваний, прокламаций, докладов, исполнение знамен, плакатов, афиш, организацию манифестаций, празднеств, увеселений, украшение домов, помещений, улиц и т. п.». Заказы предполагалось выполнять бесплатно. Предусматривалось структурное деление общества на партийные секции и курии по родам искусств. Летом 1917 общество влилось в «левый блок» Союза деятелей искусств.","О. М. Брик,  Л. А. Бруни, В. М. Ермолаева, И. М. Зданевич, Н. Ф. Лапшин,  Е. И. Турова,  Н. И. Альтман, В. А. Денисов, Н. И. Любавина, С. Н. Наседкин, А. М. Родченко, В. Е. Татлин, С. И. Толстая (Дымшиц-Толстая), А. М. Авраамов, Б. А. Кушнер, В. Б. Шкловский, Н. П. Венгров, М. А. Кузмин, В. Э. Мейерхольд",Официальное,"ЦГИА, ф. 794, on. 1, д. 43, л. 369—373, д. 36, л. 36.* Сурис Б. Страницы художественной жизни России в 1917 году// Искусство, 1972. № 4. С. 62—67.
",Петроград,Санкт-Петербург,59.9310584,30.3609097
«ИСКУССТВО — СОЦИАЛИСТИЧЕСКОМУ СТРОИТЕЛЬСТВУ» (Объединение работников изобразительных искусств «Искусство — социалистическому строительству»),ИССТР,1932,1932,"ИССТР основано в начале 1932 бывшими членами Объединения художников-реалистов (ОХР) и объединения «Московский салон». Объединяло около 60 живописцев, графиков, скульпторов, сценографов и художников прикладного искусства. В правление входили: С. Ф. Соколов (председатель), А. В. Лысенко (секретарь), И. И. Захаров, Н. С. Зайцев, К. С. Сергеев, К. А. Скрягин, Б. А. Такке. Поводом к созданию ИССТР послужила жесткая критика в адрес ОХР со стороны сектора искусств Наркомпроса, которая фактически привела к ликвидации этого объединения. Член ИССТР А. М. Скворцов писал: Обновление ОХР’а прежде всего пошло по линии обновления и пополнения личного состава. Был ривлечен целый ряд новых живописцев, художников-декораторов и архитекторов; выросла и партийная прослойка. В работу по всякого рода оформлениям были втянуты все категории работников, и поэтому оформительские произведения объединения, на которые было обращено большое внимание, поднялись на значительную высоту. Началась усиленная работа с молодежью, дотоле терявшейся в старом ОХР’е».
Члены ИССТР выезжали в творческие командировки на ударные стройки, в частности, в Магнитогорск для оформления города в честь пуска первой домны. Группа художников оформила Всесоюзную выставку рабочего изобретательства и рационализации ВЦСПС, Выставку детского технического творчества, устроенную ЦК ВЛКСМ, и другие осковские выставки. Летом 1932 состоялась единственная выставка ИССТР, на которой экспонировалась станковая живопись и графика, скульптура, сценография, проекты оформления технических выставок.","С. Ф. Соколов, А. В. Лысенко, И. И. Захаров, Н. С. Зайцев, К. С. Сергеев, К. А. Скрягин, Б. А. Такке, Н. Н. Агапьева, А. К. Агеев, А. Ф. Андронов, А. А. Арапов, В. Н. Бакшеев, И. И. Бродский, В. К. Коленда, М. А. Кузнецов-Волжский, С. И. Куклинский, А. П. Куприянов, М. В. Либаков, А. В. Лысенко, Б. А. Матрунин, Н. И. Нестеров, И. В. Озерский, М. П. Петров, А. С. Рыбаков, Б. Б. Титов, Л. Е. Фейнберг, В. Г. Чудаков, М. В. Эберман, А. А. Ясинский.
",Официальное,"Выставки, 408. * Каталог выставки Объединения работников изобразительных искусств ИССТР. М., 1932.",Москва,Москва,55.755826,37.6173
«ИСКУССТВО ТРУДЯЩИМСЯ» (Группа художников «Искусство трудящимся»),ИСТР,1925,1928,"Выставки под девизом «Искусство трудящимся» в 1925—1928 объединяли молодых художников, ранее примыкавших к различным московским объединениям (МТХ, ОХМШ, «Среда», «Московский салон», Кружок художников Замоскворецкого района и др.). В начале 1925 многие из них участвовали в выставке «Объединенное искусство» (ОБИС). Состоялось 3 выставки ИСТР (декабрь 1925 — январь 1926, 1927 и 1928), в которых, в общей сложности, участвовало 45 живописцев, графиков и скульпторов. В 1928—1929 часть группы вошла в Общество художников им. И. Е. Репина, другие ее члены участвовали в создании обществ «Кумач» и Объединение работников искусств (ОРИ).","В. Я. Андрианов, Е. Н. Аранович, В. А. Ватагин, В. В. Воронцов, А. А. Галунов, Д. В. Горлов, М. О. Гридин, Д. П. Гриневич, И. Д. Дмитриев-Лютич, Н. В. Дубинина, С. А. Емельянов, П. И. Ермилов, В. С. Зикеев, Ф. И. Златина, К. Г. Иванов-Соколов, Н. А. Каретников, С. А. Каретникова, А. Я. Королева, Н. М. Крашенинникова, Н. П. Кречетова, С. Е. Леднев-Щукин, Э. Э. Лисснер, С. В. Лукин, А. К. Манков, К. Ф. Морозов, А. Е. Осипов, Д. Ф. Паршин, Н. П. Полынский, А. Н. Прийменко, А. В. Простаков, А. А. Пупарев, В. А. Рожков, И. К. Слюсарев, Д. Г. Соболев, А. Ф. Студент, А. В. Тар-Бей, А. И. Филимонов, С. И. Фомин, Л. И. Хорошкевич",Официальное,"Выставки, 153, 213, 257.*
Каталог выставки картин группы художников «ИСТР». М.., 1925.*
Каталог 2-й выставки картин «ИСТР». М., 1927.*
Каталог 3-й выставки картин (1927—1928). М. (1928).
",Москва,Москва,55.755826,37.6173
Кавказское общество поощрения изящных искусств (в 1873—1877 — Тифлисское художественное общество),Кавказское общество поощрения изящных искусств,1873,1921,"Тифлисское художественное общество основано 1 декабря 1873 по инициативе камергера С. А. Талызина, который стал его первым председателем. В 1877 для взаимной материальной поддержки объединилось с местным Музыкальным обществом (основано в 1871) под новым названием — Кавказское общество поощрения изящных искусств. 31 марта 1877 был утвержден устав, в котором определялись цели общества: «а) содействие распространению художественного образования; б) развитие художественной и музыкальной деятельности на Кавказе; в) поощрение талантов в художествах и музыке; г) пособие нуждающимся членам — специалистам общества, посвятившим свои труды развитию художественной и музыкальной деятельности». Торжественное открытие общества состоялось 14 мая 1877. К этому времени в его рядах насчитывалось 111 членов (5 почетных, 39 действительных, 64 члена-сотрудника и 3 члена-корреспондента). Позднее, когда Музыкальное общество получило правительственную субсидию и выделилось в самостоятельную организацию, в художественном обществе состояло около 50 членов. Видную роль в деятельности общества в разные годы играли художники Л. В. Артазов, Г. 3. Башинджагян, И. Н. Занковский, Л. К. Лонго, М. И. Микаэлян, А. Р. Мревлишвили, Я. И. Николадзе, А. А. Сидоренко, В. И. Склифосовский, Е. М. Татевосян, М. И. Тоидзе, Б. А. Фогель, М. К. Франке, Ф. Н. Ходорович, М. М. Хунунц, А. И. Шамшинов, О. И. Шмерлинг, а также архитекторы Н. А. Мадатян, Р. Р. Мартиросянц, Г. А. Саркисян и др. Главные усилия общества сосредоточились на поддержании Рисовальной школы (позже — Школа живописи и скульптуры), основанной в 1874. Школа давала начальные знания по разным видам изобразительного искусства, технического и ремесленного рисования, архитектурного черчения. В ней преподавали Г. Ф. Гриневский, А. В. Захаров, П. П. Колчин, Н. А. Кюи, Л. К. Лонго, Б. Л. Лопатинский, Я. И. Николадзе, Л. О. Премацци, Е. М. Татевосян, М. И. Тоидзе, Б. А. Фогель, М. К. Франке, А. И. Шамшинов, П. Д. Шишков и др. С 1901 до закрытия школы в 1922 ее бессменным директором был О. И. Шмерлинг. В 1906 к школе общества были присоединены рисовальные классы среднего Художественного училища, основанного в 1901 при поддержке И. Е. Репина (в сентябре 1906 училище было закрыто по решению совета Академии художеств из-за конфликта в преподавательской среде). С 1907 общество получало от Академии художеств ежегодную субсидию в 2000 рублей на содержание школы. С 1888 общество устраивало художественные выставки, в которых наряду с его членами участвовали художники из 
Петербурга и Москвы (В. К. Бялыницкий-Бируля, Д. А. Пахомов, Ф. А. Рубо, А. П. Эйснер и др.). Выставки проводились нерегулярно и не имели четко выраженной эстетической на
 правленности. На них экспонировались как образцы салонного академизма, так и произведения, выполненные в духе новейших течений Запада. В 1901 общество организовало художественный отдел Юбилейной промышленной выставки в Тифлисе, в 1902 — художественный отдел Кавказской промышленной и сельскохозяйственной выставки. В 1910-е — провело серию персональных выставок своих членов: К. Кавторадзе (1911, 1912), М. К. Франке (1913), Г. М. Шарбабчяна (1913), В. И. Джорджадзе (1914), К. М. Зданевича (1917) и др. Последняя выставка общества состоялась в 1920.
 В конце 1912 при обществе организовалась художественно архитектурная группа под председательством О. И. Шмерлинга (позже его сменил Г. Ф. Гриневский), которая ставила перед собой задачу изучения и собирания памятников кавказской старины. По заказам различных государственных учреждений группа выполняла обмеры археологических и архитектурных памятников, анализировала их состояние и составляла проекты 
реставрационных работ. Деятельность общества прекратилась в мае 1921.","С. А. Талызин, Л. В. Артазов, Г. З. Башинджагян, И. Н. Занковский, Л. К. Лонго, М. И. Микаэлян, А. Р. Мревлишвили, Я. И. Николадзе, А. А. Сидоренко, В. И. Склифосовский, Е. М. Татевосян, М. И. Тоидзе, Б. А. Фогель, М. К. Франке, Ф. Н. Ходорович, М. М. Хунунц, А. И. Шамшинов, О. И. Шмерлинг, Н. А. Мадатян, Р. Р. Мартиросянц, Г. А. Саркисян,  Г. Ф. Гриневский, А. В. Захаров, П. П. Колчин, Н. А. Кюи, Б. Л. Лопатинский, Л. О. Премацци, П. Д. Шишков",Официальное,"ЦГИА, ф. 789, оп. 11, 1887, д. 121; оп. 13, 1907, д. 148.*
Лит.: Устав Кавказского общества поощрения изящных искусств. Тиф¬лис, 1877.*
Отчеты Кавказского общества поощрения изящных искусств за 1878... 1916 гг. Тифлис, 1878..: 1916.*
Пахомов А. А. К 25-летию Тифлисского художественного общества//Искус- ство и художественная промышленность, 1899. № 6. С. 453—468.*
Амиранашвили Ш. История грузинского искусства. М., 1963. С. 377—378.
",Тифлис,Тбилиси,41.6938026,44.80151679999999
